与	giving
両	Both
丸	circle
乗	Square
予	Preliminary
争	dispute
互	each other
亡	deceased
交	intercourse
他	other
付	attached
令	decree
仲	relationship
件	subject
任	appointed
伝	Tradition
似	Similar
位	rank
余	the rest
例	example
供	accompaniment
便	flights
係	clerk
信	Faith
倉	storehouse
倍	times
倒	overthrow
候	weather
値	value
偉	great
停	stop 
健	Ken
側	~ side
偶	even
備	preparation
働	work
億	hundred million
優	excellent
兆	Trillion
光	light
児	child
全	all
公	public
共	Both
兵	soldiers
具	tool
典	Law
内	within
最	highest
冷	cold
処	place
刀	sword
列	column
初	first time
判	Judgment
利	profit
到	Arrive
制	system
刷	printing
刻	hour
副	deputy
割	Split
功	success
加	addition
助	Help
努	Tsutomu
労	Labor
勇	courage
務	duty
勝	win
勤	work
包	package
化	transformation
卒	graduation
協	cooperative
単	single
博	Hiroshi
印	mark
危	danger
原	original
参	three
反	anti
収	collection
取	taking
受	receive
史	history
号	issue
司	Tsukasa
各	each
合	combination
向	direction
君	you
否	no
吸	suction
吹	blowing
告	Notice
周	lap
呼	call
命	life
和	sum
唱	chant
商	quotient
喜	Joy
器	vessel
回	times
因	cause
困	need
囲	enclosure
固	Fixed
園	garden
在	present
坂	Slope
型	type
報	report
塩	salt
増	increase
士	samurai
声	voice
変	strange
夢	dreams
太	fat
夫	husband
央	Central
失	lost
好	Good
妻	wife
委	Committee
娘	Daughter
婚	marriage
婦	wife
存	existing
季	season
孫	grandchild
宅	home
守	Mamoru
完	finish
官	official
定	fixed
実	fruit
客	guest
宮	palace
害	harm
容	Capacity
宿	inn
寄	close
富	wealth
寒	cold
寝	sleeping
察	Guess
寺	temple
対	versus
局	bureau
居	residence
岩	rock
岸	shore
島	island
州	state
巣	nest
差	difference
市	city
希	Nozomi
師	teacher
席	seat
帯	band
帳	book
常	always
平	flat
幸	Happiness
幾	Iku
底	bottom
府	prefecture
座	seat
庫	warehouse
庭	garden
康	health
式	formula
弓	bow
引	draw
当	this
形	shape
役	role
彼	he
径	Diameter
徒	non-adult
得	get
御	control
必	Must
忘	forget
忙	busy
念	just in case
怒	anger
怖	fear
性	sex
恐	Fear
恥	shame
息	breath
悲	sorrow
情	affection
想	idea
愛	Love
感	feeling
慣	practice
成	formed
戦	battle
戸	door
戻	return
所	place
才	Talent
打	hit
払	payment
投	Throw
折	folding
抜	pull out
抱	embrace
押	push
招	invitation
拾	pick up
指	finger
挙	performance
捕	caught
掛	Hanging
探	search
支	branch
改	Kai
放	release
政	politics
救	Salvation
敗	defeat
散	scatter
数	number
整	adjustment
断	break
旗	flag
易	Easy
昔	long ago
星	Star
昨	last
昭	Akira
晩	night
景	view
晴	fine weather
暗	dark
暮	evening
曲	song
更	change
望	Desire
期	period
未	not yet
末	end
札	tag
材	material
束	bundle
杯	cup
松	pine
板	board
果	fruit
柱	pillar
栄	Sakae
根	root
格	rank
案	plan
梅	plum
械	machine
植	Plant
極	very
構	structure
様	looks
標	mark
権	rights
