世	world
主	main
乗	Square
事	case
京	Kyoto
仕	service
代	teenager
以	After
会	meeting
低	low
住	residence
体	body
作	work
使	messenger
便	Flight
借	Borrow
働	work
元	Yuan
兄	Brother
光	light
公	public
写	copy
冬	winter
切	off
別	another
力	Power
勉	studying
動	movement
区	Ward
医	doctor
去	leave
口	mouth
古	old
台	platform
合	combination
同	same
味	taste
品	goods
員	member
問	Question
回	times
図	figure
地	ground
堂	hall
場	place
声	voice
売	sell
夏	summer
夕	evening
多	many
夜	Night
太	fat
好	Good
妹	sister
姉	sister
始	beginning
字	character
安	cheap
室	room
家	House
寒	cold
少	little
屋	Ya
工	Engineering
市	city
帰	return
広	Wide
店	shop
度	Every time
建	built
引	draw
弟	Younger brother
弱	weak
強	strength
待	waiting
心	heart
思	thought
急	Sudden
悪	evil
意	intention
所	place
手	hand
持	Have
教	Teaching
文	Sentence
料	fee
新	new
方	direction
旅	Journey
族	tribe
早	early
明	Ming
映	movie
春	spring
昼	noon
暑	heat
暗	dark
曜	day of the week
有	Yes
服	clothes
朝	Morning
村	village
林	Hayashi
森	Woods
業	business
楽	easy
歌	song
止	stop
正	Positive
歩	walking
死	death
民	people
池	pond
注	note
洋	Western
洗	washing
海	Sea
漢	Han
無	Nothing
牛	Cow
物	object
特	Special
犬	dog
理	Reason
産	production
用	for
田	field
町	town
画	picture
界	realm
病	disease
発	departure
目	eye
県	prefecture
真	True
着	wearing
知	knowledge
短	short
研	Research
社	company
私	Me
秋	autumn
究	study
空	Sky
立	standing
答	Answer
紙	paper
終	end
習	practice
考	thought
者	person
肉	meat
自	self
色	colour
花	flower
英	British
茶	tea
菜	greens
薬	medicine
親	parent
言	words
計	Total
試	trial
説	theory
買	buy
貸	rent
質	quality
赤	red
走	run
起	start
足	leg
転	turn
軽	Light
近	near
送	sending
通	through
週	week
進	advancement
運	luck
道	road
遠	Far
都	capital
重	Heavy
野	field
銀	Silver
門	gate
開	open
院	hospital
集	collection
青	blue
音	sound
頭	Head
題	subject
顔	face
風	Wind
飯	food
飲	drink
館	mansion
首	neck
駅	station
験	experience
魚	fish
鳥	bird
黒	black
