七	seven
万	Ten thousand
三	three
上	Up
下	under
中	During ~
九	Nine
二	two
五	five
人	Man
今	now
休	rest
会	meeting
何	what
先	Destination
入	enter
八	Eight
六	six
円	Circle
出	Exit
分	minutes
前	Previous
北	North
十	ten
千	thousand
午	noon
半	half
南	South
友	friend
口	mouth
古	old
右	right
名	Name
四	four
国	Country
土	soil
外	outside
多	many
大	Big
天	Heaven
女	woman
子	Child
学	learning
安	cheap
小	small
少	little
山	Mountain
川	river
左	left
年	Year
店	shop
後	rear
手	hand
新	new
日	Day
時	Time
書	book
月	Moon
木	wood
本	Book
来	come
東	east
校	school
母	mother
毎	every
気	air
水	water
火	fire
父	father
生	Raw
男	Man
白	White
百	hundred
目	eye
社	company
空	Sky
立	standing
耳	ear
聞	heard
花	flower
行	line
西	West
見	You see
言	words
話	Talk
語	word
読	Reading
買	buy
足	leg
車	car
週	week
道	road
金	Money
長	long
間	while
雨	rain
電	electric
食	food
飲	drink
駅	station
高	high
魚	fish
